date,open,high,low,close,range,gap,completed_legs,total_distance,efficiency_ratio,day_type,leg_sequence
2024-06-11,23283.75,23389.44922,23206.65039,23261.8,182.79882999999973,49.29999999999927,29,1268.2499999999927,0.14413469741770216,Multi_Wave_Oscillating,"[np.float64(-13.2), np.float64(25.1), np.float64(-24.0), np.float64(59.1), np.float64(-83.2), np.float64(82.2)]"
2024-06-12,23344.44922,23441.94922,23295.94922,23308.4,146.0,82.64921999999933,34,1335.9476600000016,0.10928571857373501,Multi_Wave_Oscillating,"[np.float64(-30.9), np.float64(43.8), np.float64(-23.8), np.float64(45.4), np.float64(-21.6), np.float64(80.6)]"
2024-06-13,23480.94922,23481.05078,23353.9,23399.35,127.15077999999994,172.54921999999715,29,1039.3992199999811,0.12233103272869711,Multi_Wave_Oscillating,"[np.float64(-29.0), np.float64(46.3), np.float64(-35.1), np.float64(21.0), np.float64(-45.3), np.float64(31.3)]"
2024-06-14,23464.94922,23490.40039,23334.25,23454.15,156.15038999999888,65.59922000000006,18,733.4499999999935,0.21289847978730694,Multi_Wave_Oscillating,"[np.float64(-92.1), np.float64(29.7), np.float64(-32.8), np.float64(34.2), np.float64(-29.7), np.float64(108.8)]"
2024-06-18,23570.80078,23579.05078,23499.69922,23562.3,79.35156000000279,116.65077999999994,15,556.1531199999954,0.1426793398192272,Multi_Wave_Oscillating,"[np.float64(-6.2), np.float64(25.7), np.float64(-42.1), np.float64(24.6), np.float64(-27.1), np.float64(73.1)]"
2024-06-19,23629.84961,23664.0,23412.90039,23521.4,251.09961000000112,67.54961000000185,56,2331.849220000029,0.10768260994164879,Multi_Wave_Oscillating,"[np.float64(-7.3), np.float64(25.1), np.float64(-26.7), np.float64(33.2), np.float64(-72.2), np.float64(72.6)]"
2024-06-20,23586.15039,23624.0,23442.59961,23579.15,181.40038999999888,64.75038999999742,53,2233.000000000018,0.08123618002686851,Multi_Wave_Oscillating,"[np.float64(-22.2), np.float64(35.3), np.float64(-66.6), np.float64(26.1), np.float64(-45.8), np.float64(93.5)]"
2024-06-21,23661.15039,23667.09961,23398.19922,23453.15,268.9003900000025,82.00038999999742,64,2753.2570199999864,0.09766628689100876,Multi_Wave_Oscillating,"[np.float64(-19.5), np.float64(41.4), np.float64(-41.9), np.float64(32.9), np.float64(-33.0), np.float64(30.2)]"
2024-06-24,23382.30078,23558.09961,23350.0,23548.65,208.09961000000112,-70.84922000000006,41,1559.2437599999794,0.13346188411233653,Multi_Wave_Oscillating,"[np.float64(-28.0), np.float64(61.6), np.float64(-30.6), np.float64(56.7), np.float64(-59.6), np.float64(24.0)]"
2024-06-25,23577.09961,23754.15039,23562.05078,23721.9,192.09960999999748,28.449609999999666,23,933.4007799999854,0.20580613828070776,Multi_Wave_Oscillating,"[np.float64(20.3), np.float64(-30.4), np.float64(30.8), np.float64(-32.6), np.float64(30.5), np.float64(-27.3)]"
2024-06-26,23723.09961,23889.90039,23670.44922,23840.25,219.45117000000027,1.1996099999996659,36,1384.2499999999964,0.15853434711937933,Multi_Wave_Oscillating,"[np.float64(-13.7), np.float64(53.3), np.float64(-72.2), np.float64(54.8), np.float64(-26.0), np.float64(22.8)]"
2024-06-27,23881.55078,24087.44922,23805.40039,24036.1,282.0488299999997,41.300780000001396,54,2413.1500000000015,0.1168799411557506,Multi_Wave_Oscillating,"[np.float64(-12.9), np.float64(41.9), np.float64(-55.6), np.float64(22.3), np.float64(-24.5), np.float64(74.4)]"
2024-06-28,24085.90039,24174.0,23985.80078,24009.8,188.1992199999986,49.800390000000334,46,1829.3445399999982,0.10287795212158272,Multi_Wave_Oscillating,"[np.float64(10.9), np.float64(-30.7), np.float64(25.0), np.float64(-27.0), np.float64(46.2), np.float64(-28.2)]"
2024-07-01,23992.94922,24164.0,23992.69922,24123.15,171.3007800000014,-16.85078000000067,25,845.0999999999985,0.20269882854100307,Multi_Wave_Oscillating,"[np.float64(13.6), np.float64(-36.7), np.float64(53.9), np.float64(-27.2), np.float64(50.8), np.float64(-20.1)]"
2024-07-02,24228.75,24236.34961,24056.40039,24117.8,179.94922000000224,105.59999999999854,32,1334.2992199999971,0.13486421733799905,Multi_Wave_Oscillating,"[np.float64(-21.7), np.float64(36.8), np.float64(-41.5), np.float64(25.5), np.float64(-123.6), np.float64(53.6)]"
2024-07-03,24291.75,24309.15039,24207.09961,24290.8,102.05077999999776,173.95000000000073,21,789.2511699999995,0.12930076492632608,Multi_Wave_Oscillating,"[np.float64(-12.8), np.float64(59.0), np.float64(-36.8), np.float64(77.9), np.float64(-39.3), np.float64(22.9)]"
2024-07-04,24369.94922,24401.0,24281.0,24304.65,120.0,79.14921999999933,27,952.5999999999767,0.1259710266638704,Multi_Wave_Oscillating,"[np.float64(-28.1), np.float64(38.4), np.float64(-23.5), np.float64(37.8), np.float64(-25.6), np.float64(54.8)]"
2024-07-05,24213.34961,24363.0,24168.84961,24316.75,194.15038999999888,-91.30039000000033,27,1113.900779999989,0.17429774131229245,Multi_Wave_Oscillating,"[np.float64(10.1), np.float64(-77.1), np.float64(24.2), np.float64(-37.7), np.float64(35.6), np.float64(-25.2)]"
2024-07-08,24329.44922,24344.59961,24240.55078,24331.05,104.04882999999973,12.699219999998604,29,1139.7949299999855,0.09128732481728187,Multi_Wave_Oscillating,"[np.float64(-2.9), np.float64(55.8), np.float64(-30.6), np.float64(26.7), np.float64(-72.3), np.float64(36.1)]"
2024-07-09,24351.0,24443.59961,24331.90039,24417.25,111.69922000000224,19.950000000000728,17,569.2046799999916,0.19623735349471105,Multi_Wave_Oscillating,"[np.float64(10.5), np.float64(-21.3), np.float64(22.2), np.float64(-22.1), np.float64(32.5), np.float64(-33.8)]"
2024-07-10,24459.84961,24461.05078,24141.80078,24312.4,319.25,42.59961000000112,42,1797.3500000000022,0.17762261106629182,Multi_Wave_Oscillating,"[np.float64(-33.0), np.float64(40.5), np.float64(-25.0), np.float64(20.1), np.float64(-52.2), np.float64(28.0)]"
2024-07-11,24396.55078,24402.65039,24193.75,24338.5,208.90038999999888,84.15077999999994,38,1388.2984400000023,0.15047225004444903,Multi_Wave_Oscillating,"[np.float64(-18.7), np.float64(29.0), np.float64(-52.8), np.float64(20.7), np.float64(-46.1), np.float64(41.9)]"
2024-07-12,24387.94922,24592.19922,24331.15039,24512.4,261.0488299999997,49.449219999998604,41,1919.1515599999912,0.13602304030641588,Multi_Wave_Oscillating,"[np.float64(-20.1), np.float64(26.4), np.float64(-49.1), np.float64(98.3), np.float64(-34.8), np.float64(23.0)]"
2024-07-15,24587.6,24635.05078,24522.75,24588.35,112.3007800000014,75.19999999999709,26,966.9492200000059,0.11613927358046859,Multi_Wave_Oscillating,"[np.float64(-16.4), np.float64(30.9), np.float64(-44.5), np.float64(26.9), np.float64(-20.3), np.float64(28.2)]"
2024-07-16,24615.90039,24661.25,24587.65039,24601.1,73.59961000000112,27.550390000000334,24,793.5507800000269,0.09274719634198914,Multi_Wave_Oscillating,"[np.float64(21.6), np.float64(-44.2), np.float64(25.1), np.float64(-20.0), np.float64(32.2), np.float64(-22.8)]"
2024-07-18,24543.80078,24837.75,24504.44922,24779.35,333.3007800000014,-57.29921999999715,39,1879.6515599999875,0.17732051359561748,Multi_Wave_Oscillating,"[np.float64(23.3), np.float64(-70.8), np.float64(54.8), np.float64(-23.0), np.float64(112.0), np.float64(-20.2)]"
2024-07-19,24853.80078,24854.80078,24508.15039,24525.85,346.6503900000025,74.45078000000285,41,1669.3007800000123,0.20766203080549686,Multi_Wave_Oscillating,"[np.float64(-47.2), np.float64(46.0), np.float64(-27.3), np.float64(20.1), np.float64(-62.2), np.float64(35.7)]"
2024-07-22,24445.75,24595.19922,24362.30078,24515.9,232.8984399999972,-80.09999999999854,39,1561.6468800000075,0.1491364296133298,Multi_Wave_Oscillating,"[np.float64(-35.9), np.float64(66.1), np.float64(-41.5), np.float64(54.8), np.float64(-21.1), np.float64(37.2)]"
2024-07-23,24568.90039,24582.55078,24074.19922,24476.4,508.3515600000028,53.000389999997424,96,5314.253120000016,0.0956581383161518,Multi_Wave_Oscillating,"[np.float64(6.2), np.float64(-37.7), np.float64(23.9), np.float64(-66.2), np.float64(39.9), np.float64(-35.5)]"
2024-07-24,24444.94922,24504.25,24307.25,24441.9,197.0,-31.45078000000285,67,2773.2999999999665,0.07103450762629444,Multi_Wave_Oscillating,"[np.float64(-35.4), np.float64(46.5), np.float64(-22.6), np.float64(57.6), np.float64(-33.7), np.float64(24.6)]"
2024-07-25,24230.94922,24426.15039,24210.80078,24415.0,215.34960999999748,-210.95078000000285,38,1338.793759999986,0.1608534611036727,Multi_Wave_Oscillating,"[np.float64(25.3), np.float64(-49.0), np.float64(22.1), np.float64(-38.8), np.float64(46.4), np.float64(-23.6)]"
