Entry_Time,Type,Is_Short,Trade_Type,Option_Symbol,Strike,Expiry,Strategy,Entry_Price,Qty,Target_Price,SL_Price,Initial_SL,Spot_ATR,Entry_Spot,Max_Favorable_Excursion,Trailing_Trigger_Points,Trailing_Jump_Points,exit_mode,spot_sl_price,spot_target_price,spot_initial_sl,spot_mfe,spot_atr,Breakeven_Mult,Initial_SL_Points,Breakeven_Triggered,Max_Loss_INR,Regime_Trend,Regime_Vol,Exit_Time,Exit_Price,Exit_Spot,Gross_PnL,Charges,PnL,Exit_Reason,Max_Excursion_Pts,Active_Strategy,Entry_Time_DT
2026-08-06 14:21:00,PE,True,SELL,NIFTY 24650 PE,24650,2026-08-11,Strategy_22,112.04,65,28.040000000000006,148.04000000000002,148.04000000000002,18.228047550479136,24655.6,99.0,22.8,0.0,POINTS,0.0,0.0,0.0,24655.6,18.228047550479136,0.0,36.000000000000014,False,0.0,RANGE,HIGH_VIX,2026-08-07 09:15:00,171.24,24585.4,-3848.0,66.94,-3914.94,GapUp_SL,13.04,Strategy_22,2026-08-06 14:21:00
2026-08-10 09:21:00,PE,True,SELL,NIFTY 24600 PE,24600,2026-08-11,Strategy_3,90.25,65,6.25,126.25,126.25,17.057919457702823,24609.65,88.9,21.3,0.0,POINTS,0.0,0.0,0.0,24609.65,17.057919457702823,0.0,36.0,False,0.0,RANGE,HIGH_VIX,2026-08-10 09:37:00,126.88,24515.1,-2380.95,63.13,-2444.08,StopLoss,1.35,Strategy_3,2026-08-10 09:21:00
2026-08-10 09:41:00,CE,True,SELL,NIFTY 24550 CE,24550,2026-08-11,Strategy_22,96.22,65,12.219999999999999,132.22,132.22,20.481218441052444,24528.65,90.0,25.6,0.0,POINTS,0.0,0.0,0.0,24528.65,20.481218441052444,0.0,36.0,False,0.0,RANGE,HIGH_VIX,2026-08-10 10:30:00,124.17,24597.05,-1816.75,63.22,-1879.97,Strategy_Exit,6.22,Strategy_22,2026-08-10 09:41:00
2026-08-10 10:31:00,PE,True,SELL,NIFTY 24600 PE,24600,2026-08-11,Strategy_22,82.04,65,0.05,118.04,118.04,19.622271491144453,24597.05,64.65,24.5,0.0,POINTS,0.0,0.0,0.0,24597.05,19.622271491144453,0.0,36.0,False,0.0,RANGE,HIGH_VIX,2026-08-11 09:17:00,118.63,24513.85,-2378.35,61.68,-2440.03,StopLoss,17.39,Strategy_22,2026-08-10 10:31:00
2026-08-11 14:18:00,PE,True,SELL,NIFTY 24450 PE,24450,2026-08-18,Strategy_3,117.91,65,33.91,153.91,153.91,13.98028477131395,24469.5,103.45,17.5,0.0,POINTS,0.0,0.0,0.0,24469.5,13.98028477131395,0.0,36.0,False,0.0,RANGE,LOW_VIX,2026-08-12 10:03:00,154.68,24365.4,-2390.05,66.65,-2456.7,StopLoss,14.46,Strategy_3,2026-08-11 14:18:00
2026-08-12 09:51:00,CE,True,SELL,NIFTY 24400 CE,24400,2026-08-18,Strategy_3,155.57,65,71.57,191.57,191.57,20.761231643965797,24393.75,72.15,26.0,0.0,POINTS,0.0,0.0,0.0,24393.75,20.761231643965797,0.0,36.0,False,0.0,RANGE,HIGH_VIX,2026-08-14 09:30:00,71.93,24306.35,5436.6,69.41,5367.19,Target,83.42,Strategy_3,2026-08-12 09:51:00
2026-08-13 11:11:00,CE,True,SELL,NIFTY 24350 CE,24350,2026-08-18,Strategy_22,118.75,65,34.75,154.75,154.75,16.001579451286947,24325.55,113.35,20.0,0.0,POINTS,0.0,0.0,0.0,24325.55,16.001579451286947,0.0,36.0,False,0.0,RANGE,LOW_VIX,2026-08-13 11:45:00,135.98,24349.1,-1119.95,67.16,-1187.11,Strategy_Exit,5.4,Strategy_22,2026-08-13 11:11:00
2026-08-13 11:46:00,PE,True,SELL,NIFTY 24350 PE,24350,2026-08-18,Strategy_22,83.78,65,0.05,119.78,119.78,14.641882392751828,24349.1,54.4,18.3,0.0,POINTS,0.0,0.0,0.0,24349.1,14.641882392751828,0.0,36.0,False,0.0,RANGE,LOW_VIX,2026-08-14 12:40:00,76.13,24342.65,497.25,60.57,436.68,Strategy_Exit,29.38,Strategy_22,2026-08-13 11:46:00
2026-08-13 11:52:00,PE,True,SELL,NIFTY 24350 PE,24350,2026-08-18,Strategy_3,80.1,65,0.05,116.1,116.1,14.406747936126854,24359.75,45.9,18.0,0.0,POINTS,0.0,0.0,0.0,24359.75,14.406747936126854,0.0,36.0,False,0.0,RANGE,LOW_VIX,2026-08-17 10:42:00,116.68,24241.75,-2377.7,61.58,-2439.28,StopLoss,34.2,Strategy_3,2026-08-13 11:52:00
2026-08-14 11:01:00,CE,True,SELL,NIFTY 24300 CE,24300,2026-08-18,Strategy_3,111.59,65,27.590000000000003,147.59,147.59,17.126222666770364,24308.05,110.05,21.4,0.0,POINTS,0.0,0.0,0.0,24308.05,17.126222666770364,0.0,36.0,False,0.0,RANGE,HIGH_VIX,2026-08-14 13:45:00,148.33,24383.55,-2388.1,66.3,-2454.4,StopLoss,1.54,Strategy_3,2026-08-14 11:01:00
2026-08-14 12:41:00,PE,True,SELL,NIFTY 24350 PE,24350,2026-08-18,Strategy_22,75.62,65,0.05,111.62,111.62,12.39938766380831,24342.65,45.9,15.5,0.0,POINTS,0.0,0.0,0.0,24342.65,12.39938766380831,0.0,36.0,False,0.0,RANGE,LOW_VIX,2026-08-17 10:18:00,112.18,24261.2,-2376.4,60.33,-2436.73,StopLoss,29.72,Strategy_22,2026-08-14 12:41:00
2026-08-17 09:31:00,CE,True,SELL,NIFTY 24300 CE,24300,2026-08-18,Strategy_3,69.25,65,0.05,105.25,105.25,14.461780164073941,24295.85,45.65,18.1,0.0,POINTS,0.0,0.0,0.0,24295.85,14.461780164073941,0.0,36.0,False,0.0,NEUTRAL,LOW_VIX,2026-08-17 12:47:00,105.78,24327.8,-2374.45,59.98,-2434.43,StopLoss,23.6,Strategy_3,2026-08-17 09:31:00
2026-08-17 09:31:00,CE,True,SELL,NIFTY 24300 CE,24300,2026-08-18,Strategy_22,69.25,65,0.05,105.25,105.25,14.461780164073941,24295.85,45.65,18.1,0.0,POINTS,0.0,0.0,0.0,24295.85,14.461780164073941,0.0,36.0,False,0.0,NEUTRAL,LOW_VIX,2026-08-17 12:47:00,105.78,24327.8,-2374.45,59.98,-2434.43,StopLoss,23.6,Strategy_22,2026-08-17 09:31:00
