Cycle,Entry_Timestamp,Exit_Timestamp,Stance,Entry_Spot,Exit_Spot,Monthly_Long_Symbol,Monthly_Long_Status,Weekly_Short1_Strike,Weekly_Short1_PnL_Pts,Weekly_Short2_Strike,Weekly_Short2_PnL_Pts,Monthly_Long_PnL_Pts,Net_Cycle_PnL_Pts,Net_Cycle_PnL_Rs
20,2026-04-16 09:20,2026-04-23 15:20,PUT_CALENDAR,24388.0,24170.55,NIFTY PE 22000 (MONTHLY),MONTHLY_KEPT_OPEN (Week 2),24250,65.19999999999928,24500,-69.05000000000075,0.0,-3.8500000000014722,-250.2500000000957
21,2026-04-23 09:20,2026-04-30 15:20,PUT_CALENDAR,24217.35,24002.45,NIFTY PE 22000 (MONTHLY),MONTHLY_KEPT_OPEN (Week 3),24050,101.05000000000072,24450,-86.24999999999926,0.0,14.80000000000146,962.0000000000949
22,2026-04-30 09:20,2026-05-08 15:20,PUT_CALENDAR,23921.45,24169.7,NIFTY PE 22000 (CLOSED),MONTHLY_EXPIRED_AND_CLOSED (Held 4 Wks),23850,155.15,24300,307.05000000000075,-1157.85,-695.6499999999992,-45217.24999999995
23,2026-05-12 09:20,2026-05-19 15:20,PUT_CALENDAR,23721.6,23609.6,NIFTY PE 23650 (MONTHLY),MONTHLY_KEPT_OPEN (Week 1),23850,-93.75000000000145,24200,-112.50000000000148,0.0,-206.25000000000293,-13406.250000000191
24,2026-05-19 09:20,2026-05-26 15:20,PUT_CALENDAR,23734.35,23912.85,NIFTY PE 23650 (MONTHLY),MONTHLY_KEPT_OPEN (Week 2),23500,156.9,24000,303.09999999999854,0.0,459.9999999999985,29899.999999999905
25,2026-05-26 09:20,2026-06-03 15:20,PUT_CALENDAR,24012.4,23402.85,NIFTY PE 23650 (CLOSED),MONTHLY_EXPIRED_AND_CLOSED (Held 3 Wks),23900,-356.5000000000015,24300,-538.4000000000015,145.05000000000433,-749.8499999999985,-48740.249999999905
26,2026-06-04 09:20,2026-06-11 15:20,PUT_CALENDAR,23349.7,23178.2,NIFTY PE 23250 (MONTHLY),MONTHLY_KEPT_OPEN (Week 1),23350,-11.599999999999284,23550,-103.24999999999926,0.0,-114.84999999999854,-7465.249999999905
27,2026-06-11 09:20,2026-06-18 15:20,PUT_CALENDAR,23126.9,24177.8,NIFTY PE 23250 (MONTHLY),MONTHLY_KEPT_OPEN (Week 2),23100,150.5,23500,413.15,0.0,563.65,36637.25
28,2026-06-18 09:20,2026-06-25 15:20,PUT_CALENDAR,24085.8,24048.75,NIFTY PE 23250 (MONTHLY),MONTHLY_KEPT_OPEN (Week 3),24100,91.75,24200,50.150000000000006,0.0,141.9,9223.5
29,2026-06-25 09:20,2026-07-03 15:20,PUT_CALENDAR,24135.6,24272.7,NIFTY PE 23250 (CLOSED),MONTHLY_EXPIRED_AND_CLOSED (Held 4 Wks),24200,151.85,24300,189.95000000000073,-585.1500000000001,-243.34999999999934,-15817.749999999956
30,2026-07-07 09:20,2026-07-14 15:20,PUT_CALENDAR,24466.55,24045.75,NIFTY PE 24550 (MONTHLY),MONTHLY_KEPT_OPEN (Week 1),24500,-298.9,24600,-343.5,0.0,-642.4,-41756.0
31,2026-07-14 09:20,2026-07-21 15:20,PUT_CALENDAR,24121.4,24186.75,NIFTY PE 24550 (MONTHLY),MONTHLY_KEPT_OPEN (Week 2),24250,92.85,24250,197.05,0.0,289.9,18843.5
32,2026-07-21 09:20,2026-07-28 15:20,PUT_CALENDAR,24247.85,24002.5,NIFTY PE 24550 (MONTHLY),MONTHLY_KEPT_OPEN (Week 3),24200,-51.30000000000001,24350,-126.1,0.0,-177.4,-11531.0
