entry_time,exit_time,stance,entry_spot,exit_spot,strike_long,strike_short1,strike_short2,net_pnl_pts,net_pnl_rs,cum_pnl,peak,drawdown
2022-03-15 09:20,2022-03-23 15:20,PUT_CALENDAR,16897.0996,17221.0996,16600,16750,16300,16.942381643691533,1101.2548068399497,5554.172490606585,5554.172490606585,0.0
2022-03-24 09:20,2022-03-31 15:20,PUT_CALENDAR,17155.0996,17463.6504,16850,17000,16550,25.136269432585777,1633.8575131180755,5579.30876003917,5579.30876003917,0.0
2022-04-05 09:20,2022-04-11 15:20,PUT_CALENDAR,18026.5508,17668.0996,17750,17900,17450,444.85122568067345,28915.329669243773,6024.1599857198435,6024.1599857198435,0.0
2022-04-12 09:20,2022-04-21 15:20,PUT_CALENDAR,17578.25,17398.0508,17300,17450,17000,368.82920313571503,23973.898203821478,6392.9891888555585,6392.9891888555585,0.0
2022-04-26 09:20,2022-05-02 15:20,PUT_CALENDAR,17146.25,17070.4004,16850,17000,16550,276.5356228327846,17974.815484131,6669.524811688343,6669.524811688343,0.0
2022-05-05 09:20,2022-05-12 15:20,PUT_CALENDAR,16813.25,15816.4004,16500,16650,16200,662.7480527722746,43078.62343019785,7332.272864460618,7332.272864460618,0.0
2022-05-17 09:20,2022-05-24 15:20,PUT_CALENDAR,15938.0,16124.4502,15650,15800,15350,58.87782178349562,3827.0584159272153,7391.150686244113,7391.150686244113,0.0
2022-05-26 09:20,2022-06-02 15:20,PUT_CALENDAR,16075.9502,16633.0508,15800,15950,15500,-53.383655532142825,-3469.9376095892835,7337.76703071197,7391.150686244113,-53.383655532143166
2022-06-07 09:20,2022-06-14 15:20,PUT_CALENDAR,16448.0508,15738.5498,16150,16300,15850,553.7661812290953,35994.8017798912,7891.533211941065,7891.533211941065,0.0
2022-06-16 09:20,2022-06-23 15:20,PUT_CALENDAR,15845.7998,15559.8496,15550,15700,15250,325.187557019829,21137.191206288884,8216.720768960895,8216.720768960895,0.0
2022-06-28 09:20,2022-07-05 15:20,PUT_CALENDAR,15745.8496,15817.5,15450,15600,15150,114.93589577356352,7470.833225281629,8331.656664734459,8331.656664734459,0.0
2022-07-07 09:20,2022-07-14 15:20,PUT_CALENDAR,16111.2002,15945.9502,15800,15950,15500,309.2447131408053,20100.906354152343,8640.901377875263,8640.901377875263,0.0
2022-07-19 09:20,2022-07-26 15:20,PUT_CALENDAR,16237.2002,16470.5508,15950,16100,15650,44.077003649700146,2865.0052372305095,8684.978381524963,8684.978381524963,0.0
2022-07-28 09:20,2022-08-04 15:20,PUT_CALENDAR,16769.6504,17361.0508,16450,16600,16150,-58.75424701368661,-3819.02605588963,8626.224134511276,8684.978381524963,-58.754247013686836
2022-08-11 09:20,2022-08-19 15:20,PUT_CALENDAR,17690.1504,17748.3496,17400,17550,17100,187.69480117420153,12200.1620763231,8813.918935685477,8813.918935685477,0.0
2022-08-23 09:20,2022-08-30 15:20,PUT_CALENDAR,17408.4492,17772.9004,17100,17250,16800,8.590223284696094,558.3645135052461,8822.509158970173,8822.509158970173,0.0
2022-09-01 09:20,2022-09-08 15:20,PUT_CALENDAR,17551.0996,17791.1992,17250,17400,16950,66.09562252076239,4296.215463849556,8888.604781490936,8888.604781490936,0.0
2022-09-13 09:20,2022-09-20 15:20,PUT_CALENDAR,18036.75,17802.5996,17750,17900,17450,394.7380748143687,25657.974862933967,9283.342856305306,9283.342856305306,0.0
2022-09-22 09:20,2022-09-29 15:20,PUT_CALENDAR,17634.0508,16810.5996,17350,17500,17050,614.8576857522694,39965.74957389751,9898.200542057575,9898.200542057575,0.0
2022-10-04 09:20,2022-10-12 15:20,PUT_CALENDAR,17190.1992,17121.6504,16900,17050,16600,277.09603041031824,18011.241976670684,10175.296572467894,10175.296572467894,0.0
