Instrument,Trades,Win Rate (%),Profit Factor,Gross PnL (Rs.),Charges (Rs.),Net PnL (Rs.),Avg PnL/Trade,Max Win,Max Loss,Max Drawdown (Rs.),Robustness Score
KALYANKJIL,215,35.3,1.02,114386.25,55660.62,58725.63,273.14,51333.75,-30575.62,436751.84,0.134
MANAPPURAM,49,34.7,1.04,74400.0,13372.1,61027.9,1245.47,91449.76,-60644.63,458013.98,0.133
JUBLFOOD,299,35.1,1.02,156125.0,96067.67,60057.33,200.86,59252.85,-37133.02,545613.85,0.11
SBICARD,399,35.1,1.02,170520.0,115595.97,54924.03,137.65,78477.33,-38567.68,546429.7,0.101
AXISBANK,460,36.5,1.01,158562.5,130126.22,28436.28,61.82,52162.13,-47691.65,359720.91,0.079
COFORGE,914,36.1,1.0,211800.0,203042.53,8757.47,9.58,50833.62,-36585.43,321643.45,0.027
NBCC,26,30.8,1.01,23725.0,8958.93,14766.07,567.93,398987.09,-107818.55,696698.32,0.018
YESBANK,2,50.0,0.39,-283010.0,613.82,-283623.82,-141811.91,183109.45,-466733.27,0.0,0.0
VOLTAS,846,35.9,1.0,186862.5,187432.38,-569.88,-0.67,43110.05,-27615.96,176872.61,-0.003
MCX,651,36.4,1.0,247312.5,259692.53,-12380.03,-19.02,67886.1,-57034.06,479219.44,-0.026
PNB,8,25.0,0.77,-150000.0,2698.36,-152698.36,-19087.29,262865.4,-120771.17,654930.16,-0.062
SAIL,19,31.6,0.95,-40655.0,4987.72,-45642.72,-2402.25,140563.49,-71640.27,358803.58,-0.081
GAIL,27,29.6,0.96,-31500.0,6874.59,-38374.59,-1421.28,175720.5,-53960.08,400683.53,-0.086
NMDC,6,33.3,0.78,-89100.0,1302.86,-90402.86,-15067.14,201908.44,-101826.89,203637.09,-0.089
ADANIGREEN,993,35.5,0.98,287550.0,385798.19,-98248.19,-98.94,88508.37,-37760.0,939754.84,-0.105
IDFCFIRSTB,6,33.3,0.69,-169268.75,1571.89,-170840.64,-28473.44,277467.61,-139891.23,279735.43,-0.122
IOC,22,31.8,0.93,-76537.5,6522.26,-83059.76,-3775.44,249838.71,-96854.72,445373.1,-0.137
EXIDEIND,99,34.3,0.98,-9090.0,29503.56,-38593.56,-389.83,55686.91,-38580.95,276613.18,-0.14
SUZLON,8,25.0,0.7,-227430.0,1676.15,-229106.15,-28638.27,270054.05,-138210.08,359397.07,-0.17
IRFC,26,34.6,0.94,-62687.5,6934.14,-69621.64,-2677.76,149081.6,-71975.93,339366.42,-0.178
GODREJPROP,1483,36.8,0.98,281531.25,368993.75,-87462.5,-58.98,25761.1,-30364.13,374229.0,-0.234
VBL,190,33.2,0.97,-26043.75,47154.15,-73197.9,-385.25,73881.18,-29530.75,303506.81,-0.241
NHPC,10,30.0,0.57,-292480.0,2318.28,-294798.28,-29479.83,191425.77,-102688.33,394039.28,-0.249
FORTIS,240,33.8,0.96,-18871.25,56513.94,-75385.19,-314.1,31860.14,-15124.42,300103.56,-0.251
RELIANCE,542,35.1,0.96,39850.0,149918.64,-110068.64,-203.08,48267.21,-28964.16,411176.03,-0.268
ICICIBANK,403,34.0,0.97,38570.0,130956.25,-92386.25,-229.25,47962.7,-43665.47,295412.38,-0.313
DELHIVERY,157,33.1,0.92,-211235.0,57848.4,-269083.4,-1713.91,67169.08,-49947.89,847914.27,-0.317
IREDA,40,32.5,0.88,-166807.5,11000.17,-177807.67,-4445.19,113454.08,-74228.83,560551.3,-0.317
TATASTEEL,25,32.0,0.79,-147950.0,4876.23,-152826.23,-6113.05,86439.13,-57377.25,401835.1,-0.317
CHOLAFIN,853,35.2,0.98,146718.75,281764.42,-135045.67,-158.32,65714.66,-32109.53,407025.73,-0.332
ICICIPRULI,247,32.8,0.93,-122516.25,60600.07,-183116.32,-741.36,64019.6,-35431.95,542049.76,-0.338
JINDALSTEL,463,34.1,0.96,-28312.5,110291.78,-138604.28,-299.36,50202.03,-22529.32,382613.48,-0.362
COALINDIA,97,30.9,0.86,-176782.5,22218.8,-199001.3,-2051.56,68237.85,-27925.7,531497.69,-0.374
ADANIPORTS,718,34.5,0.97,76285.0,177331.78,-101046.78,-140.73,67019.42,-22992.19,264400.79,-0.382
MAXHEALTH,518,34.6,0.96,-17010.0,110590.66,-127600.66,-246.33,42190.44,-31413.48,318503.21,-0.401
OIL,163,31.9,0.89,-222950.0,43869.33,-266819.33,-1636.93,50874.11,-47584.37,614471.51,-0.434
VEDL,190,36.8,0.9,-238337.5,44176.8,-282514.3,-1486.92,56304.53,-536161.02,645696.22,-0.438
NTPC,60,30.0,0.84,-138375.0,13566.06,-151941.06,-2532.35,50589.26,-28820.99,335068.96,-0.453
JSWSTEEL,414,33.6,0.92,-127980.0,110623.49,-238603.49,-576.34,67990.05,-24863.77,514595.52,-0.464
BANKBARODA,53,30.2,0.84,-250526.25,15402.06,-265928.31,-5017.52,88450.94,-55617.84,572205.23,-0.465
ITC,63,31.7,0.8,-210320.0,17388.97,-227708.97,-3614.43,50028.82,-52871.92,460716.51,-0.494
INDUSINDBK,705,34.3,0.96,40985.0,234553.81,-193568.81,-274.57,84511.37,-32421.83,388466.99,-0.498
NAUKRI,813,34.2,0.94,-17643.75,168718.53,-186362.28,-229.23,50557.56,-23472.93,368519.12,-0.506
KOTAKBANK,71,31.0,0.85,-206300.0,22725.99,-229025.99,-3225.72,59401.1,-56252.66,452731.64,-0.506
PRESTIGE,847,34.1,0.93,-61042.5,221292.52,-282335.02,-333.34,35952.99,-28696.09,527510.92,-0.535
ADANIENSOL,820,34.5,0.94,-8741.25,377775.58,-386516.83,-471.36,125938.82,-62530.12,720613.47,-0.536
ABCAPITAL,48,31.2,0.82,-267220.0,15274.45,-282494.45,-5885.3,92903.84,-63783.63,519234.41,-0.544
LICHSGFIN,208,33.2,0.93,-109750.0,49905.82,-159655.82,-767.58,39256.33,-24970.31,279736.0,-0.571
UNITDSPR,639,33.5,0.89,-167000.0,140631.31,-307631.31,-481.43,36663.7,-26565.3,501731.35,-0.613
SYNGENE,299,32.1,0.89,-282400.0,87147.77,-369547.77,-1235.95,58401.73,-55865.01,569143.91,-0.649
APLAPOLLO,1095,34.8,0.91,-143640.0,255004.62,-398644.62,-364.06,24095.54,-20284.81,608560.15,-0.655
DABUR,132,29.5,0.79,-337625.0,38464.76,-376089.76,-2849.16,55051.69,-22907.07,568635.15,-0.661
SAMMAANCAP,63,30.2,0.81,-517720.0,19670.94,-537390.94,-8530.01,128543.54,-71572.46,811863.48,-0.662
UNIONBANK,23,13.0,0.31,-879468.75,5698.61,-885167.36,-38485.54,132382.41,-71126.66,1017549.77,-0.667
INDUSTOWER,101,27.7,0.71,-549100.0,24988.09,-574088.09,-5684.04,57694.95,-48375.15,843556.64,-0.681
INFY,895,34.0,0.92,-89920.0,247786.7,-337706.7,-377.33,58436.52,-43742.33,468037.1,-0.722
MANKIND,953,35.6,0.9,-19361.25,218335.5,-237696.75,-249.42,38243.85,-20891.31,323724.08,-0.734
OBEROIRLTY,1061,33.9,0.91,-114380.0,241654.67,-356034.67,-335.57,36516.53,-22122.36,482052.9,-0.739
